Time,State of Charge (MWh),Charge Take from Hourly Market (MWh),Discharge to Hourly market (MWh),Is Charging in Hourly Market,Charge taken from Half Hourly Market (MWh),Discharge to Half Hourly Market (MWh),Is Charging in Half Hourly Market,Current Degradation (MWh),Total Cycles,Hourly Price (£/MWh),Half Hourly Price (£/MWh),Objective Value (£)
86,0.33881442582701055,0.0,0.16940721291350527,0.0,0.0,0.0,0.0,0.000378031889023908,3.78031889023908,65.785,60.09,-499431.6953007451
87,0.16940721291350527,0.0,0.16940721291350527,0.0,0.0,-0.0,0.0,0.0003801494791853268,3.801494791853268,65.785,54.67,-499431.6953007451
88,0.08470360645675264,0.0,0.0,0.0,0.0,0.08470360645675264,0.0,0.0003812082742660363,3.8120827426603623,59.045,53.43,-499431.6953007451
89,0.08470360645675264,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0003812082742660363,3.8120827426603623,59.045,49.58,-499431.6953007451
90,0.08470360645675264,0.0,0.0,0.0,0.0,0.0,0.0,0.0003812082742660363,3.8120827426603623,50.485,50.96,-499431.6953007451
91,0.08470360645675264,0.0,0.0,0.0,0.0,0.0,0.0,0.0003812082742660363,3.8120827426603623,50.485,47.73,-499431.6953007451
92,0.08470360645675264,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0003812082742660363,3.8120827426603623,52.12,47.42,-499431.6953007451
93,1.0347036064567525,0.0,0.0,1.0,1.0,0.0,1.0,0.0003937082742660362,3.937082742660362,52.12,47.13,-499431.6953007451
94,1.0347036064567525,0.0,0.0,0.0,0.0,0.0,0.0,0.0003937082742660362,3.937082742660362,49.935,48.52,-499431.6953007451
95,1.9847036064567525,0.0,0.0,1.0,1.0,0.0,1.0,0.00040620827426603623,4.062082742660362,49.935,43.08,-499431.6953007451
96,2.934703606456752,0.0,0.0,1.0,1.0,0.0,1.0,0.0004187082742660362,4.187082742660362,51.255,45.97,-499431.6953007451
97,2.934703606456752,0.0,0.0,0.0,0.0,0.0,0.0,0.0004187082742660362,4.187082742660362,51.255,47.84,-499431.6953007451
98,1.956469070971168,0.0,0.978234535485584,0.0,0.0,0.0,0.0,0.00043093620595928173,4.309362059592817,53.595,51.28,-499431.6953007451
99,0.978234535485584,0.0,0.978234535485584,0.0,0.0,0.0,0.0,0.00044316413765285153,4.431641376528515,53.595,49.45,-499431.6953007451
100,0.978234535485584,0.0,0.0,0.0,0.0,0.0,0.0,0.00044316413765285153,4.431641376528515,51.29,48.71,-499431.6953007451
101,0.978234535485584,0.0,0.0,0.0,0.0,0.0,0.0,0.00044316413765285153,4.431641376528515,51.29,49.83,-499431.6953007451
102,0.978234535485584,0.0,0.0,0.0,0.0,0.0,0.0,0.00044316413765285153,4.431641376528515,52.635,47.58,-499431.6953007451
103,1.1495295819801563,0.0,-0.0,1.0,0.18031057525744462,0.0,1.0,0.00044541801984356955,4.4541801984356955,52.635,46.51,-499431.6953007451
104,2.0995295819801565,0.0,0.0,1.0,1.0,0.0,1.0,0.0004579180198435696,4.5791801984356955,48.115,44.08,-499431.6953007451
105,3.0495295819801562,0.0,0.0,1.0,1.0,0.0,1.0,0.00047041801984356956,4.7041801984356955,48.115,44.35,-499431.6953007451
106,3.0495295819801562,0.0,0.0,0.0,0.0,0.0,0.0,0.00047041801984356956,4.7041801984356955,49.785,49.61,-499431.6953007451
107,3.5245264570007153,0.0,0.0,1.0,0.49999671054795713,0.0,1.0,0.00047666797872541897,4.76667978725419,49.785,48.31,-499431.6953007451
108,2.5245264570007153,0.0,1.0,0.0,0.0,-0.0,0.0,0.000489167978725419,4.89167978725419,54.98,55.74,-499431.6953007451
109,1.5245264570007153,0.0,1.0,0.0,0.0,0.0,0.0,0.000501667978725419,5.01667978725419,54.98,49.69,-499431.6953007451
110,1.0163509713338104,0.0,0.5081754856669051,0.0,0.0,0.0,0.0,0.0005080201722962553,5.080201722962553,57.63,52.0,-499431.6953007451
111,0.5081754856669051,0.0,0.5081754856669051,0.0,0.0,0.0,0.0,0.0005143723658670916,5.1437236586709165,57.63,55.73,-499431.6953007451
112,0.5081754856669051,0.0,0.0,0.0,0.0,0.0,0.0,0.0005143723658670916,5.1437236586709165,44.735,44.06,-499431.6953007451
113,0.5081754856669051,0.0,0.0,0.0,0.0,0.0,0.0,0.0005143723658670916,5.1437236586709165,44.735,45.36,-499431.6953007451
114,1.4581754856669051,1.0,0.0,1.0,0.0,0.0,1.0,0.0005268723658670917,5.2687236586709165,40.24,44.43,-499431.6953007451
